,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,Mvomero,-6.25,38.6667,72.28,96,74,4.41,TZ,1650428343
62,Hay River,60.8156,-115.7999,19.38,73,20,4.61,CA,1650428343
63,Coyhaique,-45.5752,-72.0662,43.41,81,75,5.75,CL,1650428343
64,Leh,34.1667,77.5833,44.06,52,26,4.81,IN,1650428343
65,Boralday,43.3578,76.8594,53.46,58,100,13.42,KZ,1650428343
66,Pascagoula,30.3658,-88.5561,59.04,94,0,0.0,US,1650428343
67,Ponta do Sol,32.6667,-17.1,61.43,62,6,9.69,PT,1650428344
68,Port Elizabeth,-33.918,25.5701,62.89,98,0,9.22,ZA,1650428345
69,Punta Arenas,-53.15,-70.9167,42.12,81,75,10.36,CL,1650428345
70,Gao,16.6362,1.637,80.71,9,34,5.88,ML,1650428345
71,Houma,29.5958,-90.7195,61.0,74,0,3.44,US,1650428345
72,Lebu,-37.6167,-73.65,52.29,89,49,8.37,CL,1650428345
73,Abhā,18.2164,42.5053,66.45,22,0,0.0,SA,1650428088
74,Córdoba,-31.4135,-64.1811,62.19,82,0,11.5,AR,1650428433
75,Thayetmyo,19.3167,95.1833,95.79,34,23,4.83,MM,1650428475
76,Stříbro,49.7529,13.0041,31.57,92,33,2.42,CZ,1650428476
77,Shellbrook,53.2168,-106.4011,29.43,96,100,16.22,CA,1650428476
78,Hithadhoo,-0.6,73.0833,82.74,71,71,4.88,MV,1650428476
79,Saint-Philippe,-21.3585,55.7679,81.21,79,32,5.57,RE,1650428476
80,Lata,40.1629,-8.3327,45.07,80,17,6.58,PT,1650427936
81,Novoagansk,61.9449,76.6625,33.33,99,100,10.38,RU,1650428476
82,Xuchang,34.0167,113.8167,78.08,32,100,16.06,CN,1650428476
83,Novhorodka,48.3651,32.6578,42.67,80,99,4.52,UA,1650428476
84,Shingū,33.7333,135.9833,64.51,58,87,4.0,JP,1650428477
85,Necochea,-38.5473,-58.7368,60.67,70,100,9.6,AR,1650428477
86,Kiryat Gat,31.61,34.7642,60.4,100,28,2.84,IL,1650428477
87,New Norfolk,-42.7826,147.0587,62.1,53,62,5.99,AU,1650428477
88,Tasiilaq,65.6145,-37.6368,30.36,92,100,9.13,GL,1650427948
89,Puerto Ayora,-0.7393,-90.3518,74.34,89,96,3.49,EC,1650428477
90,Dayong,25.0209,118.2898,66.09,67,100,1.01,CN,1650428477
91,Abu Dhabi,24.4667,54.3667,73.96,82,0,5.75,AE,1650428326
92,Butaritari,3.0707,172.7902,82.44,71,57,15.7,KI,1650428478
93,Hīt,33.6416,42.8251,69.33,34,99,22.62,IQ,1650428478
94,Iberia,29.9502,-91.7507,63.97,67,0,6.91,US,1650428478
95,Leningradskiy,69.3833,178.4167,26.62,91,96,6.78,RU,1650428478
96,Atar,20.5169,-13.0499,78.96,23,34,7.14,MR,1650428478
97,Padang,-0.9492,100.3543,86.05,85,100,3.91,ID,1650428411
98,Kamyshlov,56.8428,62.7111,38.25,94,100,4.14,RU,1650428479
99,Belidzhi,41.8918,48.4125,59.4,67,71,5.88,RU,1650428479
100,Zalţan,32.947,11.8665,66.79,22,25,12.53,LY,1650428479
101,Porto-Novo,6.4965,2.6036,79.02,85,100,2.86,BJ,1650428479
102,Charters Towers,-20.1,146.2667,89.31,27,59,10.65,AU,1650428479
103,Bethel,41.3712,-73.414,43.48,62,28,11.99,US,1650428479
104,Hofn,64.2539,-15.2082,43.39,80,59,3.31,IS,1650428480
105,Ipixuna,-1.7625,-48.8043,74.16,97,100,2.73,BR,1650428480
106,Bambous Virieux,-20.3428,57.7575,82.22,89,75,11.5,MU,1650428480
107,New Orleans,29.9547,-90.0751,64.4,68,0,8.05,US,1650428393
108,São Mateus do Sul,-25.8742,-50.3828,52.39,99,8,0.25,BR,1650428480
109,Arica,-18.475,-70.3042,62.83,72,0,8.05,CL,1650428480
110,Deputatsky,69.3,139.9,17.55,83,94,3.31,RU,1650428480
111,Colombo,6.9319,79.8478,85.26,70,93,3.51,LK,1650428303
112,Flinders,-34.5833,150.8552,71.26,50,6,3.2,AU,1650428481
113,Magistral'nyy,56.1725,107.4458,32.92,69,100,6.29,RU,1650428481
114,George Town,5.4112,100.3354,85.95,75,20,6.91,MY,1650428481
115,Hermanus,-34.4187,19.2345,66.09,55,40,7.54,ZA,1650428481
116,Murska Sobota,46.6625,16.1664,40.03,95,93,4.47,SI,1650428481
117,Kamenka,51.3223,42.7678,55.65,72,99,8.14,RU,1650428481
118,Westport,41.1415,-73.3579,44.82,62,20,13.8,US,1650428482
119,Esperance,-33.8667,121.9,64.04,59,96,6.4,AU,1650428482
120,Severo-Kuril'sk,50.6789,156.125,32.4,76,84,10.89,RU,1650428482
121,Pozo Colorado,-23.4923,-58.7972,66.54,56,20,6.53,PY,1650428482
122,Biak,-0.9131,122.8766,84.31,67,71,1.05,ID,1650428482
123,Eureka,40.8021,-124.1637,50.25,83,34,1.01,US,1650428482
124,Eirunepé,-6.6603,-69.8736,70.54,99,80,0.51,BR,1650428482
125,Ilulissat,69.2167,-51.1,-2.18,65,55,4.61,GL,1650428483
126,Kirakira,-10.4544,161.9205,84.54,72,100,6.13,SB,1650428483
127,Oistins,13.0667,-59.5333,77.09,83,75,17.27,BB,1650428483
128,São Gabriel da Cachoeira,-0.1303,-67.0892,72.66,99,100,1.99,BR,1650428483
129,Port Moresby,-9.4431,147.1797,90.82,62,40,11.5,PG,1650428483
130,Codrington,-38.2667,141.9667,63.01,52,67,16.71,AU,1650428484
131,Zhezkazgan,47.8043,67.7144,55.38,44,0,13.42,KZ,1650428484
132,Carnarvon,-24.8667,113.6333,87.87,29,39,12.66,AU,1650428484
133,Dosso,13.049,3.1937,86.34,27,79,6.55,NE,1650428484
134,Guerrero Negro,27.9769,-114.0611,61.25,82,57,13.58,MX,1650428484
135,Gushikawa,26.3544,127.8686,75.2,61,20,8.05,JP,1650428484
136,The Valley,18.217,-63.0578,78.66,65,20,18.92,AI,1650428484
137,Adana Province,36.985,35.2881,60.82,82,40,8.05,TR,1650428484
138,Ahipara,-35.1667,173.1667,71.33,80,14,11.99,NZ,1650428485
139,Flin Flon,54.7682,-101.865,27.99,89,100,7.56,CA,1650428485
140,Coolum Beach,-26.5333,153.1,85.33,65,0,6.87,AU,1650428485
141,Svetlaya,46.5389,138.3297,55.85,57,40,20.49,RU,1650428485
142,Nouakchott,18.0858,-15.9785,69.73,68,11,14.72,MR,1650428485
143,Nurota,40.5614,65.6886,60.66,69,61,7.87,UZ,1650428485
144,Noyabrsk,63.1994,75.4507,32.65,100,100,13.73,RU,1650428485
145,Nantucket,41.2835,-70.0995,46.99,73,0,26.46,US,1650428485
146,Kantang,7.4054,99.5156,89.69,62,20,2.3,TH,1650428476
147,Saint George,37.1041,-113.5841,75.79,9,0,20.71,US,1650428486
148,Galle,6.0367,80.217,85.35,71,78,8.16,LK,1650428486
149,Puerto Asís,0.5133,-76.5007,70.27,98,99,1.52,CO,1650428487
150,Knysna,-34.0363,23.0471,65.16,50,3,5.82,ZA,1650428487
151,Auki,-8.7676,160.7034,85.26,67,96,4.09,SB,1650428487
152,Poum,-20.2333,164.0167,78.39,79,24,8.34,NC,1650428487
153,Mount Gambier,-37.8333,140.7667,64.36,47,72,9.06,AU,1650428351
154,Lüderitz,-26.6481,15.1594,75.16,27,0,13.04,NA,1650428488
155,Zhigansk,66.7697,123.3711,29.82,84,100,10.65,RU,1650427936
156,Concordia,-31.393,-58.0209,56.79,99,100,5.28,AR,1650428488
157,Hailey,43.5196,-114.3153,39.06,48,0,11.5,US,1650428488
158,Witu,-2.3889,40.4382,82.56,85,100,7.67,KE,1650428488
159,Lagoa,39.05,-27.9833,58.77,66,100,6.62,PT,1650428489
160,Caravelas,-17.7125,-39.2481,75.83,74,88,6.42,BR,1650428489
161,Aswān,24.0934,32.907,71.51,25,0,16.8,EG,1650428489
162,La Ronge,55.1001,-105.2842,30.45,74,20,10.36,CA,1650428489
163,Saint-Augustin,51.226,-58.6502,28.24,96,100,16.93,CA,1650428489
164,Vallenar,-28.5708,-70.7581,57.49,70,50,0.36,CL,1650428489
165,Hong Kong,22.2855,114.1577,75.25,77,99,8.01,HK,1650428378
166,San Policarpo,12.1791,125.5072,83.07,79,26,4.56,PH,1650428489
167,Provideniya,64.3833,-173.3,35.71,60,0,4.47,RU,1650428490
168,Alghero,40.5589,8.3181,50.09,76,0,2.3,IT,1650428490
169,Kitoy,52.6,103.9,41.88,44,75,13.87,RU,1650428490
170,Half Moon Bay,37.4636,-122.4286,56.48,80,75,12.66,US,1650428490
171,Kaitangata,-46.2817,169.8464,63.66,67,100,4.41,NZ,1650428490
172,Ketchikan,55.3422,-131.6461,44.58,81,100,17.27,US,1650428490
173,Fairbanks,64.8378,-147.7164,44.56,34,0,4.61,US,1650428490
174,Fallon,39.4735,-118.7774,48.07,41,20,11.5,US,1650428491
175,Karasjok,69.4719,25.5112,40.05,91,98,3.4,NO,1650428491
176,Lompoc,34.6391,-120.4579,55.02,88,100,9.22,US,1650428491
177,Souillac,-20.5167,57.5167,80.98,89,75,11.5,MU,1650428491
178,Alice Springs,-23.7,133.8833,72.95,25,3,12.66,AU,1650428301
179,Saldanha,-33.0117,17.9442,69.39,38,85,12.95,ZA,1650428491
180,Glasgow,55.8652,-4.2576,38.91,89,13,1.99,GB,1650428290
181,Katsuura,35.1333,140.3,57.22,89,98,10.56,JP,1650428492
182,Nikolskoye,59.7035,30.7861,40.91,87,90,5.66,RU,1650428492
183,Kruisfontein,-34.0033,24.7314,59.14,88,3,6.06,ZA,1650428492
184,Pangody,65.85,74.4859,28.35,93,100,16.93,RU,1650428492
185,Ardrossan,55.6502,-4.8066,39.13,90,9,4.94,GB,1650428492
186,Salalah,17.0151,54.0924,80.69,74,20,2.3,OM,1650428493
187,Buíque,-8.6231,-37.1558,64.76,98,19,3.42,BR,1650428493
188,Ostrovnoy,68.0531,39.5131,31.03,73,100,6.06,RU,1650427944
189,Amrāvati,20.9333,77.75,102.13,10,69,14.58,IN,1650428493
190,Margate,51.3813,1.3862,49.69,89,100,5.01,GB,1650428494
191,Paamiut,61.994,-49.6678,14.77,70,4,19.13,GL,1650428494
192,Kavieng,-2.5744,150.7967,85.5,65,76,13.76,PG,1650428494
193,Strezhevoy,60.7333,77.5889,35.6,99,100,7.78,RU,1650428494
194,Torbay,47.6666,-52.7314,28.76,85,100,13.8,CA,1650428494
195,East London,-33.0153,27.9116,65.34,94,0,5.75,ZA,1650428494
196,Roebourne,-20.7833,117.1333,94.15,28,5,11.27,AU,1650428494
197,Faya,18.3851,42.4509,68.11,30,19,3.71,SA,1650428495
198,Krasnystaw,50.9846,23.1742,37.6,87,100,8.72,PL,1650428495
199,Santa Isabel Rio Negro,-0.4139,-65.0192,73.27,99,100,2.01,BR,1650428495
200,Cabo San Lucas,22.8909,-109.9124,74.5,50,0,11.07,MX,1650428495
201,Hilo,19.7297,-155.09,75.27,93,100,6.91,US,1650428496
202,San Juan,-31.5375,-68.5364,66.31,44,0,3.49,AR,1650428496
203,Tweed,44.4751,-77.3162,36.59,88,100,14.36,CA,1650428496
204,Bilibino,68.0546,166.4372,26.35,75,29,2.35,RU,1650428496
205,Ciudad del Carmen,18.6333,-91.8333,79.74,81,5,18.39,MX,1650428496
206,Āstāneh-ye Ashrafīyeh,37.2596,49.9444,57.13,57,100,1.54,IR,1650428496
207,Havøysund,70.9963,24.6622,41.23,86,68,7.4,NO,1650428497
208,Aki,33.5,133.9,67.95,42,5,7.52,JP,1650428497
209,Richards Bay,-28.783,32.0377,60.98,87,2,4.7,ZA,1650428497
210,Tiksi,71.6872,128.8694,12.34,91,100,6.33,RU,1650428497
211,Lloydminster,53.2835,-110.0016,28.62,93,100,16.11,CA,1650428497
212,Oktyabr'skoye,43.0645,44.7417,53.74,93,46,4.47,RU,1650428497
213,Riohacha,11.5444,-72.9072,79.38,80,98,7.29,CO,1650428497
214,Mar del Plata,-38.0023,-57.5575,60.87,96,100,4.0,AR,1650428497
215,San Felipe,10.3399,-68.7425,72.03,96,92,3.02,VE,1650428498
216,Angoche,-16.2325,39.9086,75.29,91,70,7.61,MZ,1650428498
217,Borūjerd,33.8973,48.7516,57.43,44,89,0.0,IR,1650428498
218,Kamina,-8.7386,24.9906,62.51,98,95,2.24,CD,1650428498
219,Selçuk,37.9514,27.3685,55.02,87,0,3.71,TR,1650428498
220,Ribeira Grande,38.5167,-28.7,59.85,67,64,8.63,PT,1650428498
221,Gambiran,-6.7988,111.4951,81.75,77,99,2.89,ID,1650428498
222,Kuala Pilah,2.7389,102.2487,80.62,86,100,4.09,MY,1650428499
223,San Patricio,28.017,-97.5169,75.07,85,100,15.64,US,1650428499
224,Gwanda,-20.9333,29.0,56.25,87,99,9.71,ZW,1650428499
225,Santa Rosa,14.3122,121.1114,89.58,68,94,14.34,PH,1650428290
226,Hobyo,5.3505,48.5268,83.32,65,24,14.52,SO,1650428499
227,Hamadan,34.7992,48.5146,58.08,44,80,2.3,IR,1650428499
228,Palmer,42.1584,-72.3287,42.17,61,0,12.66,US,1650428499
229,Villamontes,-21.25,-63.5,72.81,62,100,2.39,BO,1650428499
230,Murmashi,68.8154,32.8115,34.21,100,75,0.0,RU,1650428500
231,Tuatapere,-46.1333,167.6833,62.53,82,100,5.86,NZ,1650428500
232,Fortuna,40.5982,-124.1573,49.98,85,0,4.61,US,1650428500
233,Safi,32.2994,-9.2372,55.9,75,0,13.09,MA,1650428500
234,Oranjemund,-28.55,16.4333,73.15,29,0,11.12,NA,1650428500
235,Oussouye,12.485,-16.5469,69.89,77,28,3.76,SN,1650428500
236,Taoudenni,22.6783,-3.9836,77.81,11,100,0.76,ML,1650428500
237,Thompson,55.7435,-97.8558,24.96,74,75,4.61,CA,1650428501
238,Haines Junction,60.7522,-137.5108,29.68,78,96,2.39,CA,1650428501
239,Tambo Grande,-4.9269,-80.3447,74.55,65,100,4.92,PE,1650428501
240,Bilma,18.6853,12.9164,73.76,15,22,7.65,NE,1650428501
241,Mahébourg,-20.4081,57.7,82.26,89,75,11.5,MU,1650428501
242,Nortelândia,-14.4547,-56.8028,71.44,85,11,0.43,BR,1650428501
243,Port-Gentil,-0.7193,8.7815,79.3,88,100,14.63,GA,1650428501
244,Villazón,-22.0866,-65.5942,46.49,43,27,4.12,BO,1650428501
245,Cidreira,-30.1811,-50.2056,66.33,84,2,8.1,BR,1650428502
246,Kabalo,-6.05,26.9167,68.81,98,100,3.15,CD,1650428502
247,Viedma,-40.8135,-62.9967,62.62,34,95,9.19,AR,1650428502
248,Cayenne,4.9333,-52.3333,76.08,1,75,2.3,GF,1650428502
249,Kjøllefjord,70.9457,27.3465,41.05,87,0,17.27,NO,1650428502
250,Escanaba,45.7453,-87.0646,32.31,86,0,0.0,US,1650428502
251,Capreol,46.706,-80.9225,30.67,59,100,20.71,CA,1650428502
252,Grindavik,63.8424,-22.4338,43.27,87,100,34.52,IS,1650428502
253,Jalu,29.0331,21.5482,54.21,70,1,4.5,LY,1650427935
254,Kupiškis,55.8333,24.9667,42.04,79,86,14.63,LT,1650428503
255,Kisangani,0.5167,25.2,69.13,99,100,4.92,CD,1650428503
256,Beipiao,41.7919,120.7792,80.6,9,2,25.03,CN,1650428503
257,Port Lincoln,-34.7333,135.8667,65.8,54,81,12.37,AU,1650427944
258,Thunder Bay,48.4001,-89.3168,28.38,86,0,2.3,CA,1650428503
259,Zelenets,61.8849,50.7489,37.65,98,100,4.9,RU,1650428503
260,College,64.8569,-147.8028,44.55,33,0,4.61,US,1650428504
261,Mâncio Lima,-7.6142,-72.8958,71.64,99,100,2.13,BR,1650428504
262,Quatre Cocos,-20.2078,57.7625,82.09,83,22,11.25,MU,1650428504
263,Tessalit,20.1986,1.0114,74.5,12,4,4.23,ML,1650428504
264,Gisborne,-38.6533,178.0042,68.04,80,12,11.48,NZ,1650428441
265,Chicama,-7.8447,-79.1469,61.34,76,11,6.69,PE,1650428505
266,Daru,-9.0763,143.2092,85.15,68,64,6.89,PG,1650428505
267,Honiara,-9.4333,159.95,85.71,69,97,5.06,SB,1650428505
268,Port Keats,-14.25,129.55,93.15,44,85,5.77,AU,1650428505
269,Tauá,-5.9667,-40.3,70.14,90,45,2.51,BR,1650428505
270,Ishigaki,24.3448,124.1572,75.33,64,75,10.36,JP,1650428361
271,Upata,8.0086,-62.3989,71.94,84,69,5.46,VE,1650428506
272,Mocuba,-16.8392,36.9856,67.84,98,100,5.26,MZ,1650428506
273,Sinjai,-5.1241,120.253,85.21,73,63,6.82,ID,1650428506
274,Beringovskiy,63.05,179.3167,31.68,99,100,6.85,RU,1650428506
275,Idritsa,56.3316,28.8988,40.1,76,1,10.87,RU,1650428507
276,Khakhea,-24.6895,23.494,56.93,68,1,8.63,BW,1650428507
277,Vincennes,48.85,2.4333,47.01,86,41,6.91,FR,1650428507
278,Kilindoni,-7.9139,39.6668,80.96,80,97,16.4,TZ,1650428507
279,Rocha,-34.4833,-54.3333,58.33,95,90,6.38,UY,1650428507
280,Hualmay,-11.0964,-77.6139,66.52,88,40,8.21,PE,1650428507
281,Iqaluit,63.7506,-68.5145,6.53,66,20,0.0,CA,1650428408
282,Lorengau,-2.0226,147.2712,85.86,67,57,10.45,PG,1650428508
283,Lincoln,40.8,-96.667,52.29,48,100,23.02,US,1650428508
284,Solnechnyy,50.7214,136.6319,55.0,66,100,12.93,RU,1650428508
285,Vardø,70.3705,31.1107,36.64,91,100,14.63,NO,1650428508
286,Kahului,20.8947,-156.47,75.22,77,40,14.97,US,1650427952
287,Borogontsy,62.6683,131.1683,29.7,74,100,3.0,RU,1650428508
288,Navrongo,10.8956,-1.0921,87.12,37,71,9.57,GH,1650428508
289,Townsville,-19.25,146.8,85.08,58,20,18.41,AU,1650428410
290,Kijabe,-0.933,36.5758,58.41,92,78,3.98,KE,1650428508
291,Piaçabuçu,-10.4056,-36.4344,76.57,86,22,3.15,BR,1650428509
292,Goderich,43.7501,-81.7165,37.9,75,57,12.66,CA,1650428509
293,Esna,25.2934,32.554,68.47,27,0,13.96,EG,1650428509
294,Indi,17.1667,75.9667,95.95,21,55,14.43,IN,1650428509
295,Te Anau,-45.4167,167.7167,59.05,98,100,2.1,NZ,1650428326
296,Camacha,33.0833,-16.3333,56.62,67,75,11.5,PT,1650428509
297,Tarakan,3.3,117.6333,78.3,89,75,4.61,ID,1650428510
298,Sangar,63.9242,127.4739,27.18,83,100,5.57,RU,1650428510
299,Tura,25.5198,90.2201,79.5,66,97,1.23,IN,1650428503
300,Vestmannaeyjar,63.4427,-20.2734,43.83,89,100,39.35,IS,1650428510
301,Uyskoye,54.3775,60.0047,53.73,71,99,12.15,RU,1650428510
302,Eyl,7.9803,49.8164,82.13,66,60,8.99,SO,1650428511
303,Waddān,29.1614,16.139,56.61,35,59,9.62,LY,1650428511
304,Grand Gaube,-20.0064,57.6608,82.38,82,21,7.0,MU,1650428511
305,Batesville,35.7698,-91.641,51.3,57,0,5.99,US,1650428511
306,East Moline,41.5009,-90.4443,46.09,53,100,8.05,US,1650428511
307,Neochori,41.1833,23.25,44.11,89,79,2.26,GR,1650428511
308,Teruel,40.6667,-0.6667,35.65,97,100,4.94,ES,1650428511
309,Pushkino,56.0172,37.8667,41.29,81,3,10.6,RU,1650428511
310,Perth,-31.9333,115.8333,74.79,56,20,13.8,AU,1650428451
311,Micăsasa,46.0833,24.1167,30.42,82,43,1.63,RO,1650428512
312,San Cristobal,7.7669,-72.225,69.98,73,100,1.19,VE,1650428512
313,Marawi,7.9986,124.2928,81.52,66,100,3.0,PH,1650428512
314,Bullas,38.0467,-1.6723,51.15,70,61,4.5,ES,1650428512
315,Karratha,-20.7377,116.8463,94.05,28,5,10.11,AU,1650428512
316,Adrar,20.5022,-10.0711,75.9,13,5,7.52,MR,1650428512
317,Boa Vista,2.8197,-60.6733,78.78,78,75,11.5,BR,1650428512
318,Meulaboh,4.1363,96.1285,83.82,68,96,3.38,ID,1650427941
319,Orange Cove,36.6244,-119.3137,64.06,61,78,4.94,US,1650428513
320,Chui,-33.6971,-53.4616,61.16,94,50,6.53,UY,1650427943
321,Rio Grande,-32.035,-52.0986,64.9,91,4,9.55,BR,1650428514
322,Andenes,69.3143,16.1194,37.38,93,0,9.22,NO,1650428514
323,Soskovo,52.7475,35.3828,47.59,95,100,11.59,RU,1650428514
324,Lázaro Cárdenas,17.9583,-102.2,74.5,79,7,3.56,MX,1650428514
325,Golspie,57.9727,-3.978,39.34,91,10,2.19,GB,1650428514
326,Ibipeba,-11.6408,-42.0111,67.19,89,53,8.68,BR,1650428514
327,Erenhot,43.6475,111.9767,66.7,9,100,29.55,CN,1650428327
328,Gunnedah,-30.9833,150.25,71.62,40,38,6.53,AU,1650428515
329,Ürümqi,43.801,87.6005,61.75,32,86,4.47,CN,1650428287
330,Coquimbo,-29.9533,-71.3436,53.33,87,0,5.75,CL,1650428515
331,Vao,-22.6667,167.4833,75.99,68,0,6.93,NC,1650427962
332,Praia,14.9215,-23.5087,68.54,83,20,10.36,CV,1650428515
333,Mossamedes,-15.1961,12.1522,74.1,80,100,4.56,AO,1650428515
334,Broken Hill,-31.95,141.4333,67.71,40,0,7.74,AU,1650428516
335,Bafia,4.75,11.2333,72.18,92,100,3.51,CM,1650428516
336,Al Bardīyah,31.7561,25.0865,56.12,75,0,6.22,LY,1650428516
337,Jadu,31.953,12.0261,59.81,17,85,17.98,LY,1650428516
338,Lac du Bonnet,50.2536,-96.0612,32.13,89,100,11.5,CA,1650428516
339,Blagoyevo,63.3667,47.9167,34.27,99,100,5.73,RU,1650428516
340,São João da Barra,-21.6403,-41.0511,68.5,91,6,7.56,BR,1650428516
341,Biltine,14.5333,20.9167,86.5,18,68,9.42,TD,1650428516
342,Narsaq,60.9167,-46.05,30.42,46,0,5.39,GL,1650428517
343,Griffith,41.5284,-87.4237,44.53,67,75,8.05,US,1650428517
344,West Lafayette,40.4259,-86.9081,45.57,66,0,0.0,US,1650428517
345,Copiapó,-27.3667,-70.3333,51.49,73,53,0.58,CL,1650428517
346,Najrān,17.4924,44.1277,70.45,19,0,2.35,SA,1650428517
347,Port Augusta,-32.5,137.7667,71.42,50,57,5.68,AU,1650428517
348,Moss Vale,-34.55,150.3833,63.23,51,19,9.89,AU,1650428517
349,Nyzhni Sirohozy,46.8484,34.3804,45.27,76,100,6.38,UA,1650428518
350,Lavrentiya,65.5833,-171.0,27.97,80,0,3.31,RU,1650428518
351,Muli,2.9167,73.5667,84.06,66,44,9.1,MV,1650428518
352,Klaksvík,62.2266,-6.589,43.72,85,2,14.81,FO,1650428518
353,Saint Lawrence,36.0553,14.204,57.85,89,7,8.99,MT,1650428518
354,Novikovo,51.1537,37.8879,52.5,91,100,1.45,RU,1650428518
355,Huarmey,-10.0681,-78.1522,67.78,85,22,8.97,PE,1650428518
356,Yagoua,10.3411,15.2329,80.62,25,100,5.88,CM,1650428518
